"id","year","hospital_name","region","contract_title","original_pdf_url","gcs_pdf_path","scraped_at","created_at","updated_at"
"009440df-6e12-6212-3abc-d6b517c61d23","2016","Unidade Local de Saúde de Castelo Branco, EPE","Centro","Unidade Local de Saúde de Castelo Branco, EPE - 2016","https://www.acss.min-saude.pt//wp-content/uploads/2016/10/Acordo-Modificativo-do-CP-ULSCB.pdf","https://storage.cloud.google.com/hospital-agreements/009440df-6e12-6212-3abc-d6b517c61d23/Acordo-Modificativo-do-CP-ULSCB.pdf","2025-09-02 00:19:18.820375","2025-09-02 00:19:18.820375","2025-09-02 00:19:18.820375"
"010cdcf8-493c-0ade-fd9c-69c7862f05a0","2023","Centro Hospitalar de Leiria, EPE","Centro","Centro Hospitalar de Leiria, EPE - 2023","https://www.acss.min-saude.pt/wp-content/uploads/2016/10/2_ACORDO-MODIFICATIVO_CHL_2023_signed-1.pdf_signed-1.pdf","https://storage.cloud.google.com/hospital-agreements/010cdcf8-493c-0ade-fd9c-69c7862f05a0/2_ACORDO-MODIFICATIVO_CHL_2023_signed-1.pdf_signed-1.pdf","2025-09-02 00:19:18.820375","2025-09-02 00:19:18.820375","2025-09-02 00:19:18.820375"
"01231f36-3ff9-5247-2470-0aed03d367bf","2023","Hospital Prof. Doutor Fernando Fonseca, E.P.E.","Lisboa e Vale do Tejo","Hospital Prof. Doutor Fernando Fonseca, E.P.E. - 2023","https://www.acss.min-saude.pt/wp-content/uploads/2016/10/HFF_Adenda2023_Homologada.pdf","https://storage.cloud.google.com/hospital-agreements/01231f36-3ff9-5247-2470-0aed03d367bf/HFF_Adenda2023_Homologada.pdf","2025-09-02 00:11:00.960277","2025-09-02 00:11:00.960277","2025-09-02 00:11:00.960277"
"0128d8f7-68d7-ef7a-51fb-b38f255061ec","2014","Centro Hospitalar Barreiro-Montijo, EPE","Lisboa e Vale do Tejo","Centro Hospitalar Barreiro-Montijo, EPE - 2014","https://www.acss.min-saude.pt//wp-content/uploads/2016/10/Adenda-R.Financeiro-2014-CHBM.pdf","https://storage.cloud.google.com/hospital-agreements/0128d8f7-68d7-ef7a-51fb-b38f255061ec/Adenda-R.Financeiro-2014-CHBM.pdf","2025-09-02 00:11:00.960277","2025-09-02 00:11:00.960277","2025-09-02 00:11:00.960277"
"012a38b1-fab6-f69d-dd8b-c8268e5acc5c","2012","Centro Hospitalar de Setúbal, EPE","Lisboa e Vale do Tejo","Centro Hospitalar de Setúbal, EPE - 2012","https://www.acss.min-saude.pt//wp-content/uploads/2016/10/Acordo-Modificativo-do-CP-2012-CHS.pdf","https://storage.cloud.google.com/hospital-agreements/012a38b1-fab6-f69d-dd8b-c8268e5acc5c/Acordo-Modificativo-do-CP-2012-CHS.pdf","2025-09-02 00:11:00.960277","2025-09-02 00:11:00.960277","2025-09-02 00:11:00.960277"
"01dcdda7-3816-a1ce-0282-e9f2ff237ff2","2016","Centro Hospitalar do Algarve, EPE","Algarve","Centro Hospitalar do Algarve, EPE - 2016","https://www.acss.min-saude.pt//wp-content/uploads/2016/10/Acordo-Modificativo-do-CP-CHA.pdf","https://storage.cloud.google.com/hospital-agreements/01dcdda7-3816-a1ce-0282-e9f2ff237ff2/Acordo-Modificativo-do-CP-CHA.pdf","2025-09-02 00:23:45.888195","2025-09-02 00:23:45.888195","2025-09-02 00:23:45.888195"
"01f3b502-5d8f-e02d-d21d-e3e77c084a2e","2024","Unidade Local de Saúde de Loures-Odivelas, E.P.E.","Lisboa e Vale do Tejo","Unidade Local de Saúde de Loures-Odivelas, E.P.E. - 2024","https://www.acss.min-saude.pt/wp-content/uploads/2016/10/Contrato-Programa-2024-2026-ULS-Loures-Odivelas-EPE.pdf","https://storage.cloud.google.com/hospital-agreements/01f3b502-5d8f-e02d-d21d-e3e77c084a2e/Contrato-Programa-2024-2026-ULS-Loures-Odivelas-EPE.pdf","2025-09-02 00:11:00.960277","2025-09-02 00:11:00.960277","2025-09-02 00:11:00.960277"
"0214f991-9157-892c-2480-2738ecd77b5c","2013","Hospital Dr. Francisco Zagalo, SPA","Centro","Hospital Dr. Francisco Zagalo, SPA - 2013","https://www.acss.min-saude.pt//wp-content/uploads/2016/10/CP-2013-HFZ.pdf","https://storage.cloud.google.com/hospital-agreements/0214f991-9157-892c-2480-2738ecd77b5c/CP-2013-HFZ.pdf","2025-09-02 00:19:18.820375","2025-09-02 00:19:18.820375","2025-09-02 00:19:18.820375"
"021c254e-566c-1182-c595-892299166813","2014","Hospital do Espírito Santo, EPE","Alentejo","Hospital do Espírito Santo, EPE - 2014","https://www.acss.min-saude.pt//wp-content/uploads/2016/10/Acordo-Modificativo-do-CP-2014-HESE-1.pdf","https://storage.cloud.google.com/hospital-agreements/021c254e-566c-1182-c595-892299166813/Acordo-Modificativo-do-CP-2014-HESE-1.pdf","2025-09-02 00:22:44.407909","2025-09-02 00:22:44.407909","2025-09-02 00:22:44.407909"
"0267eb7a-9dbe-fa3c-9965-1219f40e2238","2019","Centro Hospitalar do Baixo Vouga, EPE","Centro","Centro Hospitalar do Baixo Vouga, EPE - 2019","https://www.acss.min-saude.pt/wp-content/uploads/2016/10/Adenda-Acordo-Modificativo-2019-CH-Baixo-Vouga-EPE.pdf","https://storage.cloud.google.com/hospital-agreements/0267eb7a-9dbe-fa3c-9965-1219f40e2238/Adenda-Acordo-Modificativo-2019-CH-Baixo-Vouga-EPE.pdf","2025-09-02 00:19:18.820375","2025-09-02 00:19:18.820375","2025-09-02 00:19:18.820375"
